ID,Reserve.Location,Camera.Site,Setup.Date,Last.Photo.Date,Cam.Days,Lat_Y,Long_X,Cam.Brand,Flash,RSA.Vegetation,RSA.Biome,Reserve.Area..km2.,Stablishment.Year,EVI.mean,EVI.sd,NDVI.Mean,NDVI.sd,Season,Managent.Type,Official.Name,Elev.m
1,APN,APN_K011,2018-10-25,2018-12-12,48,-24.23569444,31.18658333,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.195285714,0.067580062,0.288714286,0.07474123,spring-summer,Private reserve,Associated Private Nature Reserves,401
2,APN,APN_K012,2018-10-25,2018-12-26,62,-24.22777778,31.22847222,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.203585714,0.079667024,0.3044,0.097477673,spring-summer,Private reserve,Associated Private Nature Reserves,401
3,APN,APN_K013,2018-10-23,2019-01-22,91,-24.24805556,31.21961111,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.202357143,0.074437263,0.298471429,0.088310413,spring-summer,Private reserve,Associated Private Nature Reserves,401
4,APN,APN_K014,2018-10-25,2018-11-28,34,-24.27102778,31.15586111,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.219428571,0.105823118,0.325457143,0.118805553,spring-summer,Private reserve,Associated Private Nature Reserves,444
5,APN,APN_K021,2018-10-23,2019-01-25,94,-24.18927778,31.1485,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.188671429,0.064449249,0.281571429,0.087779244,spring-summer,Private reserve,Associated Private Nature Reserves,409
6,APN,APN_K023,2018-10-23,2019-01-24,93,-24.16211111,31.17636111,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.2347,0.111325589,0.3368,0.120329977,spring-summer,Private reserve,Associated Private Nature Reserves,345
7,APN,APN_K024,2018-10-23,2019-01-25,94,-24.21858333,31.1315,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.226471429,0.08711092,0.342114286,0.099108517,spring-summer,Private reserve,Associated Private Nature Reserves,409
8,APN,APN_K034,2018-10-23,2019-01-22,91,-24.32288889,31.07033333,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.246771429,0.117005922,0.379528571,0.150056375,spring-summer,Private reserve,Associated Private Nature Reserves,470
9,APN,APN_K041,2018-10-23,2019-01-23,92,-24.19266667,31.07902778,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.210371429,0.098404229,0.334157143,0.123730902,spring-summer,Private reserve,Associated Private Nature Reserves,440
10,APN,APN_K044,2018-10-23,2019-01-25,94,-24.28083333,31.10347222,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.213814286,0.090424839,0.3386,0.113370175,spring-summer,Private reserve,Associated Private Nature Reserves,444
11,APN,APN_K051,2018-10-23,2018-12-27,65,-24.19627778,31.13561111,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.191942857,0.081853525,0.303928571,0.102580598,spring-summer,Private reserve,Associated Private Nature Reserves,409
12,APN,APN_K053,2018-10-24,2019-01-24,92,-24.27322222,31.08061111,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.233671429,0.111826379,0.363471429,0.135755684,spring-summer,Private reserve,Associated Private Nature Reserves,470
13,APN,APN_K062,2018-10-25,2019-01-22,89,-24.12538889,31.18930556,Cuddeback 1347,White,ARID LOWVELD,Savanna,577,1972,0.217614286,0.113839015,0.346,0.138038364,spring-summer,Private reserve,Associated Private Nature Reserves,345
