id,Reserve.Location,Code.Loc.Snap,Site.Original,Camera.Site.Concatenate,Camera.Site.Std,Setup.Date,Setup.Time,Lat_Y,Long_X,Cam.Brand,Flash,Cam.Serial.No,Height,Fixture,DRXN,IMG# N,IMG# E,IMG# S,IMG# W,IMG# CT,Habitat.Descriptor,Shade,Visib.1,Visib.1,Visib.1,SITE_ID,Dist.Tree.1,Dist.Tree.2,Dist.Tree.3,Dist.Tree.4,Dist.Tree.5,Dist.Tree.6,Dist.Tree.7,Dist.Tree.8,Dist.Tree.9,Dist.Tree.10,Dist.Road,Dist.Water,Dist.Outcrop,Dist.Trail,Gral.Comments,other.cols.WATER (Km)P,other.cols.in.metadata2,Setup.Date.Original,Management.Type,Official.Name,Country,Province,Municipality,Vegetation,Biome,Elevation
1,Augrabies,AUG,B02,AUG_B02,AUG_B02,2018-11-25,9:21,-28.52727,20.04411,Cuddeback,IR - Black,,50,Pole,NW,5622,5623,5624,5625,5626,Dry river bed,0,10,1,3,B02,1,1,3,5,4,5,8,6,13,14,253,,220,,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
2,Augrabies,AUG,B03,AUG_B03,AUG_B03,2018-11-25,8:50,-28.52335,20.02440,Cuddeback,IR - Black,,50,Pole,SE,5617,5618,5619,5620,5621,Dry river bed,1,26,8,4,B03,1,2,8,4,13,13,21,13,16,17,100,,140,,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
3,Augrabies,AUG,B04,AUG_B04,AUG_B04,2018-11-25,9:52,-28.51633,20.06506,Cuddeback,IR - Black,,50,Pole,E,5627,5628,5629,5630,5631,Dry river bed,0,12,4,12,B04,1,2,8,9,3,3,5,7,10,15,128,,180,,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
4,Augrabies,AUG,B06,AUG_B06,AUG_B06,2018-11-24,10:34,-28.52500,20.11599,Cuddeback,IR - Black,,40,Pole,S,5582,5583,5584,5585,5586,Drainage line,1,16,3,11,B06,3,1,6,5,7,5,8,9,10,12,260,,200, ,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
5,Augrabies,AUG,C01,AUG_C01,AUG_C01,2018-11-25,7:58,-28.54231,20.00141,Cuddeback,IR - Black,,50,Pole,NW,5612,5613,5614,5615,5616,Dry river bed,1,8,18,3,C01,1,8,8,9,10,14,7,9,13,13,85,,1500,8,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
6,Augrabies,AUG,C02,AUG_C02,AUG_C02,2018-11-23,12:25,-28.54306,20.02006,Cuddeback,IR - Black,1231A6014182,70,Pole,S,5552,5553,5554,5555,5556,Open plain,0,13,7,9,C02,1,7,11,16,23,40,24,24,16,24,74,2337,1500,,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
7,Augrabies,AUG,C03,AUG_C03,AUG_C03,2018-11-23,13:06,-28.54254,20.04165,Cuddeback,IR - Black,1231A6004008,40,Pole,S,5557,5558,5559,5560,5561,Drainage line,2,7,3,1,C03,4,4,2,6,10,7,9,20,24,27,150,,1500,,,,,23-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
8,Augrabies,AUG,C04,AUG_C04,AUG_C04,2018-11-25,10:17,-28.53522,20.06181,Cuddeback,IR - Black,,50,Pole,NW,5632,5633,5634,5635,5636,Dry river bed,0,11,4,16,C04,11,11,23,8,9,8,15,19,15,19,30,,165,6,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,713
9,Augrabies,AUG, C05,AUG_ C05,AUG_ C05,2018-11-25,10:45,-28.54471,20.08776,Cuddeback,IR - Black,,50,Pole,S,5637,5638,5639,5640,5641,Drainage line,0,6,1,1,C05,1,4,5,7,7,11,17,16,16,21,180,,650,4,,,,25-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
10,Augrabies,AUG,C06,AUG_C06,AUG_C06,2018-11-24,11:07,-28.54756,20.11486,Cuddeback,IR - Black,,40,Pole,N,5587,5588,5589,5590,5591,Drainage line,0,4,3,2,C06,6,24,19,6,21,30,34,31,38,35,65,,1500,,,,,24-Nov-2018,National Park ,Augrabies Falls National Park,South Africa,Northern Cape,Kai !Garib,NAMAQUALAND BROKEN VELD,Nama Karoo,637
