Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,EXIF.Model,EXIF.Make,metadata_Species,metadata_Behaviour,metadata_Number,n_images,metadata_Sex,metadata_young_present,HierarchicalSubject
A01,aardwolf,2019-05-04 19:56,2019-05-04,19:56:40,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00025a.JPG,E3,CUDDEBACK,aardwolf,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|aardwolf, Number, Species"
A01,baboon,2019-03-30 17:57,2019-03-30,17:57:57,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00014a.JPG,E3,CUDDEBACK,baboon,Interacting,1,1,NA,NA,"Behaviour|Interacting, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-03-30 17:59,2019-03-30,17:59:01,64,1.1,0,0,E:/GOE/GOE_Roll1/A01,I_00015a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-04-05 7:58,2019-04-05,7:58:47,482386,8039.8,134,5.6,E:/GOE/GOE_Roll1/A01,I_00017a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-04-05 8:01,2019-04-05,8:01:23,156,2.6,0,0,E:/GOE/GOE_Roll1/A01,I_00018a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-04-18 17:16,2019-04-18,17:16:06,1156483,19274.7,321.2,13.4,E:/GOE/GOE_Roll1/A01,I_00020a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-04-30 7:54,2019-04-30,7:54:39,1003113,16718.6,278.6,11.6,E:/GOE/GOE_Roll1/A01,I_00022a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,baboon,2019-04-30 8:08,2019-04-30,8:08:30,831,13.8,0.2,0,E:/GOE/GOE_Roll1/A01,I_00023a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A01,catafricanwild,2019-03-29 4:46,2019-03-29,4:46:31,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00013a.JPG,E3,CUDDEBACK,catafricanwild,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|catafricanwild, Number, Species"
A01,human,2019-03-04 8:48,2019-03-04,8:48:43,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00001a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A01,jackalblackbacked,2019-04-14 4:26,2019-04-14,4:26:47,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00019a.JPG,E3,CUDDEBACK,jackalblackbacked,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|jackalblackbacked, Species"
A01,zebramountain,2019-03-15 21:05,2019-03-15,21:05:33,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00006a.JPG,E3,CUDDEBACK,zebraburchells,Eating,1,1,NA,NA,"Species|zebraburchells, Behaviour, Number|1, Number, Species, Behaviour|Eating"
A01,zebramountain,2019-03-15 21:06,2019-03-15,21:06:35,62,1,0,0,E:/GOE/GOE_Roll1/A01,I_00007a.JPG,E3,CUDDEBACK,zebraburchells,Eating,1,1,NA,NA,"Species|zebraburchells, Behaviour, Number|1, Number, Species, Behaviour|Eating"
A01,zebramountain,2019-03-09 2:21,2019-03-09,2:21:03,0,0,0,0,E:/GOE/GOE_Roll1/A01,I_00002a.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-03-15 21:01,2019-03-15,21:01:27,585624,9760.4,162.7,6.8,E:/GOE/GOE_Roll1/A01,I_00003b.JPG,E3,CUDDEBACK,zebramountain,Standing,1,1,NA,NA,"Behaviour|Standing, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-03-15 21:04,2019-03-15,21:04:23,176,2.9,0,0,E:/GOE/GOE_Roll1/A01,I_00005a.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-03-15 21:07,2019-03-15,21:07:35,192,3.2,0.1,0,E:/GOE/GOE_Roll1/A01,I_00008a.JPG,E3,CUDDEBACK,zebramountain,Standing,1,1,NA,NA,"Behaviour|Standing, Behaviour, Number|1, Species|zebramountain, Number, Sex"
A01,zebramountain,2019-03-16 21:21,2019-03-16,21:21:08,87213,1453.6,24.2,1,E:/GOE/GOE_Roll1/A01,I_00010a.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-03-22 2:53,2019-03-22,2:53:35,451947,7532.4,125.5,5.2,E:/GOE/GOE_Roll1/A01,I_00011b.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-03-22 2:55,2019-03-22,2:55:58,143,2.4,0,0,E:/GOE/GOE_Roll1/A01,I_00012a.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A01,zebramountain,2019-04-28 6:07,2019-04-28,6:07:40,3208302,53471.7,891.2,37.1,E:/GOE/GOE_Roll1/A01,I_00021b.JPG,E3,CUDDEBACK,zebramountain,Eating,1,1,NA,NA,"Behaviour, Number|1, Species|zebramountain, Number, Species, Behaviour|Eating"
A02,human,2019-03-04 9:16,2019-03-04,9:16:05,0,0,0,0,E:/GOE/GOE_Roll1/A02,I_00001a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A02,human,2019-03-04 9:17,2019-03-04,9:17:05,60,1,0,0,E:/GOE/GOE_Roll1/A02,I_00002a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A03,baboon,2019-03-26 16:16,2019-03-26,16:16:15,0,0,0,0,E:/GOE/GOE_Roll1/A03,I_00030a.JPG,E3,CUDDEBACK,baboon,Eating,2,1,NA,NA,"Behaviour, Number, Number|2, Species|baboon, Species, Behaviour|Eating"
A03,baboon,2019-03-26 16:20,2019-03-26,16:20:16,241,4,0.1,0,E:/GOE/GOE_Roll1/A03,I_00031a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A03,gemsbokoryx,2019-03-10 0:03,2019-03-10,0:03:18,0,0,0,0,E:/GOE/GOE_Roll1/A03,I_00005a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-10 1:49,2019-03-10,1:49:31,6373,106.2,1.8,0.1,E:/GOE/GOE_Roll1/A03,I_00006a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-10 2:40,2019-03-10,2:40:12,3041,50.7,0.8,0,E:/GOE/GOE_Roll1/A03,I_00007a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-10 14:28,2019-03-10,14:28:43,42511,708.5,11.8,0.5,E:/GOE/GOE_Roll1/A03,I_00009a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-13 6:36,2019-03-13,6:36:49,230886,3848.1,64.1,2.7,E:/GOE/GOE_Roll1/A03,I_00010a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-13 6:37,2019-03-13,6:37:49,60,1,0,0,E:/GOE/GOE_Roll1/A03,I_00011a.JPG,E3,CUDDEBACK,gemsbokoryx,Standing,1,1,NA,NA,"Behaviour|Standing, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-13 6:39,2019-03-13,6:39:50,121,2,0,0,E:/GOE/GOE_Roll1/A03,I_00012a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-15 6:41,2019-03-15,6:41:56,172926,2882.1,48,2,E:/GOE/GOE_Roll1/A03,I_00018a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-22 4:26,2019-03-22,4:26:07,596651,9944.2,165.7,6.9,E:/GOE/GOE_Roll1/A03,I_00023a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-22 13:10,2019-03-22,13:10:51,31484,524.7,8.7,0.4,E:/GOE/GOE_Roll1/A03,I_00025a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-27 11:34,2019-03-27,11:34:36,426225,7103.8,118.4,4.9,E:/GOE/GOE_Roll1/A03,I_00032a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-03-29 15:13,2019-03-29,15:13:12,185916,3098.6,51.6,2.1,E:/GOE/GOE_Roll1/A03,I_00036a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A03,gemsbokoryx,2019-04-03 8:08,2019-04-03,8:08:55,406543,6775.7,112.9,4.7,E:/GOE/GOE_Roll1/A03,I_00038a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
